,mean_oracles,mean_addition,std_oracles,std_addition
3,43.666666666666664,61.61904761904762,27.94303147709785,17.35842015537013
4,132.94285714285715,122.71428571428571,71.24737897627541,47.614177406628485
5,326.3247311827957,232.2774193548387,157.09685655555504,105.65325538115836
6,630.2636968766001,395.71274961597544,269.57885642993585,183.50755424624288
7,1053.4358205224346,622.851643544557,404.97609301257455,281.50206502370196
8,1617.5008800370542,916.8323297823066,578.1074425339688,403.24421734857333
9,2386.250596677027,1313.6043666781782,789.6036529544572,553.5810449943126
10,3282.69540299147,1777.7654513699586,1030.9094629365777,726.4904505742784
11,4329.106476779074,2317.0697623444366,1287.138871051779,909.2222021474627
12,5526.335017444153,2929.184601904094,1562.37660932265,1103.0180367629291
