m1,m2,len,depth_oracles,depth_addition
0,2,1,38,138
0,3,2,141,91
0,4,3,7,194
0,5,4,92,60
0,6,5,42,145
0,7,6,137,95
0,8,7,1,190
0,9,8,84,54
0,10,9,39,137
0,11,10,130,92
0,12,11,7,183
0,13,12,92,60
0,14,13,42,145
0,15,14,127,95
1,3,1,226,138
1,4,2,92,91
1,5,3,177,194
1,6,4,127,60
1,7,5,222,145
1,8,6,86,95
1,9,7,169,190
1,10,8,124,54
1,11,9,215,137
1,12,10,92,92
1,13,11,177,183
1,14,12,127,60
1,15,13,212,145
2,4,1,45,138
2,5,2,130,91
2,6,3,80,194
2,7,4,175,60
2,8,5,39,145
2,9,6,122,95
2,10,7,77,190
2,11,8,168,54
2,12,9,45,137
2,13,10,130,92
2,14,11,80,183
2,15,12,165,60
3,5,1,233,138
3,6,2,183,91
3,7,3,278,194
3,8,4,142,60
3,9,5,225,145
3,10,6,180,95
3,11,7,271,190
3,12,8,148,54
3,13,9,233,137
3,14,10,183,92
3,15,11,268,183
4,6,1,49,138
4,7,2,144,91
4,8,3,8,194
4,9,4,91,60
4,10,5,46,145
4,11,6,137,95
4,12,7,14,190
4,13,8,99,54
4,14,9,49,137
4,15,10,134,92
5,7,1,229,138
5,8,2,93,91
5,9,3,176,194
5,10,4,131,60
5,11,5,222,145
5,12,6,99,95
5,13,7,184,190
5,14,8,134,54
5,15,9,219,137
6,8,1,43,138
6,9,2,126,91
6,10,3,81,194
6,11,4,172,60
6,12,5,49,145
6,13,6,134,95
6,14,7,84,190
6,15,8,169,54
7,9,1,221,138
7,10,2,176,91
7,11,3,267,194
7,12,4,144,60
7,13,5,229,145
7,14,6,179,95
7,15,7,264,190
8,10,1,40,138
8,11,2,131,91
8,12,3,8,194
8,13,4,93,60
8,14,5,43,145
8,15,6,128,95
9,11,1,214,138
9,12,2,91,91
9,13,3,176,194
9,14,4,126,60
9,15,5,211,145
10,12,1,46,138
10,13,2,131,91
10,14,3,81,194
10,15,4,166,60
11,13,1,222,138
11,14,2,172,91
11,15,3,257,194
12,14,1,49,138
12,15,2,134,91
13,15,1,219,138
